,Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Predicted_V
724,China,0.789220040809162,0.5330981053923451,0.2258263568461672,27.458968688162035,3.209185294597541,20.958117346054934,0.3429584514771113,0.490551890931896,1.0192329187335414,31.5705167472874,1.5289691822033835,0.1982016987342325,29.822159461856018
3512,United States,0.791594825285017,0.9588095420725632,0.1370430746276904,23.79605574364067,34.64966894810514,11.312980557813525,0.4991967502031604,1.8982763285139104,0.6300297549170378,20.086525453904468,0.3685565609521015,2.111036778162181,22.114193968949806
178,Australia,0.791594825285017,0.9588095420725632,0.1503053076561765,1.7542686515906885,0.0,0.5631437975560679,0.1508286422089257,1.559726383225802,0.6083439481354732,1.4436523815207738,0.3122862666122193,2.2687684822747616,1.7671800081332163
493,Brazil,0.7805124977310267,0.9012809695482096,0.8622293445325523,0.5037434029179474,0.5912561079289289,11.61973801687033,1.4684524639710608,0.3692175032597805,0.4394229268896007,1.4823568381066885,1.0822268535840882,0.4915814970890314,1.3292531464560913
619,Canada,0.791594825285017,0.9588095420725632,0.4030245259212185,1.0738600762301966,3.67248619543655,9.760004264221848,1.294830276669835,2.514858069486571,0.8172125081894912,2.0004535339433582,0.444133069676679,2.0716367156035957,1.2622746814070611
1207,France,0.791594825285017,0.9588095420725632,0.2208530194604849,0.4757576583113947,18.39978702757477,2.0436283197633363,1.4969215105858775,1.092710233664461,0.4588260171678427,1.2955395894638626,0.2802431536994224,1.7700626485131206,1.2661223775455042
1292,Germany,0.791594825285017,0.9588095420725632,0.2138535075843395,3.1279641980598205,6.035363727704448,2.803192836107299,0.6560833265086997,1.0767653687730123,0.4108889705980682,2.8798171353730746,0.60088275705387,1.808984669172064,2.697415843136213
1544,India,0.6039868516924679,0.3394185778936874,0.6660588143195275,6.371338634939583,0.9910087851125402,3.800754234239037,0.2947486829929585,0.1145777537350662,0.6094853063871345,6.183707485271953,1.2215779092493928,0.0591306910422459,5.233549038977362
1565,Indonesia,0.7452865280058436,0.3959883408759687,0.6411921273911161,1.1795289644201294,0.0,0.922937515824261,0.3253438559321955,0.162105382844429,0.4805118239494075,1.5478825631736954,0.8947157391805276,0.1359991128718514,1.2528552673168063
1649,Italy,0.791594825285017,0.9588095420725632,0.2355888339365806,1.8238615209220272,0.0,2.0516237357248515,0.4309290669506955,0.7749547357491959,0.3287111764784545,1.5096995715185566,0.2462963797746802,1.568055768019117,1.6007995347458384
1691,Japan,0.791594825285017,0.9588095420725632,0.0858361193232577,5.695305411980706,11.952218605889373,3.036125954452781,0.6045240710539546,1.0496587570306275,0.4964908394726656,4.308084431773183,0.5890998653522623,1.9586543893976465,4.634548338643432
2153,Mexico,0.785552534487927,0.8149881107616788,0.1724090293703201,1.712001096314715,0.2430290174929366,1.36908172647682,0.3596983317357915,0.429533824028642,0.4200198366113586,1.7242693814943857,0.7357596634424611,0.4038294359079106,1.705812392027474
2650,Poland,0.791594825285017,0.9588095420725632,0.1748035992226857,1.2062764017432064,0.0,0.2899670855376252,0.1155692227358826,0.6877215683213889,0.5261661540158595,1.1687347734331646,0.5377219911525445,0.5493783029998781,1.2859345296325113
2881,Saudi Arabia,0.791594825285017,0.9588095420725632,0.0001841976809511,1.9817869764746383,0.0,0.0,0.0,1.896903337050188,0.6939458170100707,1.6619100735808534,0.724455545579847,0.8390086801591132,1.8202296161889198
3084,South Africa,0.6562321101612792,0.7392421569379463,0.2168006704795586,1.8786772566705552,0.5539000575369051,0.0668949802113455,0.1057657541480644,0.6429655291586468,1.0078193362169283,1.5843520087032117,0.4369795262616982,0.3549400279097994,1.8909764872338946
3113,Spain,0.791594825285017,0.9588095420725632,0.2659814512935282,1.1424622997347544,2.661725935404089,2.6057060618578687,0.893606157940172,0.8356810874899987,0.3503969832600192,1.0179026799772375,0.0234336819407487,1.3285909598557184,1.3233422871841705
3449,Ukraine,0.791594825285017,0.9041573981744272,0.0530489321139446,0.7122743494552687,3.827921715458534,0.3568620657489707,0.905645546289303,0.7109673927112836,1.1710335662044944,1.0017727441514168,0.5882497573813823,0.1340855596982437,1.2231699009512218
3491,United Kingdom,0.791594825285017,0.9588095420725632,0.0676005489090892,2.398931423368179,2.6681666337475414,0.6977332995749106,0.3887191639157201,0.9000015493951454,0.3686587152866,1.7971709839750591,0.3064068095719387,1.7286961805261374,1.9445626646866392
52,Algeria,0.7825621742121373,0.9511390657359828,0.0047891397047311,0.353495452522886,0.0,0.0045307357115253,0.0065946905218431,0.2786762048577854,0.5044803472342948,0.4253399023062097,0.5175212283865523,0.1951672589112871,0.2579993075808596
115,Argentina,0.7822540063466539,0.95018025619391,0.1619097615561019,0.6483776936279184,0.2872551461179763,0.9170742107858164,0.572899372014539,0.4895539227996772,0.3720827900415839,0.6229229180870152,1.455585692685038,0.4523760039193255,0.6244068961123689
199,Austria,0.791594825285017,0.9588095420725632,0.5737757761629779,0.1892133529150992,0.0,1.1990458803619262,1.104829228661823,1.1435744232297456,0.3755068647965678,0.260612884006357,0.2640930489950578,2.0409712077130084,0.2624932168951788
220,Azerbaijan,0.7911499014975173,0.8926516836695564,0.0819679680232825,0.1183821763002845,0.0,0.0908812280958917,0.3203826221206751,0.3177301185140373,0.4359988521346168,0.0905588787218965,0.7258155539915138,0.2545237346567226,0.1347234931473172
283,Bangladesh,0.4374353004525004,0.1217688118432155,0.7419482588714208,0.3108151281524207,0.0,0.0223871646922431,0.0363952168681445,0.0383748018506313,0.3344179677367611,0.1884191012479801,0.8009774076009563,0.0340242965695589,0.33447521595170066
325,Belarus,0.791594825285017,0.94634501802562,0.1344643070943736,0.2697858801599233,0.0,0.0031981663846061,0.0061012716187366,0.716314593551099,0.8000921344145716,0.2297312219997597,1.121046840423627,0.2628061060769341,0.24656230961561681
346,Belgium,0.791594825285017,0.9588095420725632,0.1145709575516444,0.3169241107509013,2.058447190567382,0.1743000679610357,0.9783056674434366,1.6001573627070491,0.5489933190490854,0.3975501380737566,0.41175896686189,1.922664628119377,0.34035864239077
514,Bulgaria,0.791594825285017,0.9588095420725632,0.2628500907173578,0.2061368857892682,0.6548043315843257,0.1535119864610956,0.7620264218390834,0.6342043322369216,0.6562809947052478,0.1666641083705695,0.2216430490859774,0.2984926500408064,0.2202090732776491
703,Chile,0.787940744412019,0.9588095420725632,0.4980705292920361,0.3030550691759726,0.0,0.5743373799021896,0.6168644757977502,0.4871807097860484,0.406323537591423,0.2598306017508228,0.8401349480929776,0.5578730065316343,0.2899943445969092
745,Colombia,0.7661766679494256,0.8274526348086222,0.5479881008298105,0.131755894961823,0.0,1.0836453766507204,1.1975963110782692,0.2156519816442179,0.2739259803987121,0.2367718050645192,0.6461337310695991,0.2760047301496344,0.16793740187694664
850,Cuba,0.7722533931214156,0.8648462069494522,0.2875325799648182,0.1210238985050329,0.0,0.0461068987114054,0.1760273333098086,0.2688826922554534,0.2111512765573406,0.1047145286553734,0.3436272380611269,0.2495940343780271,0.13557384919060086
892,Czechia,0.791594825285017,0.9588095420725632,0.2016964606415605,0.4237487524054119,1.2022636907777784,0.1575096944418534,0.6634332963491711,1.1172337914067438,0.6151920976454409,0.4181503232477399,0.5551425471894672,0.1922174265399546,0.3613825562832843
913,Denmark,0.791594825285017,0.9588095420725632,0.3904990836165372,0.2182722971673308,0.0,0.3312767346721214,0.5332974883643841,0.9346819890323144,0.3298525347301159,0.1792551724477541,0.268966010193279,2.528078741761739,0.20124889873520024
997,Ecuador,0.7715052568520387,0.8974457313799193,0.217169065841461,0.0806550810637224,0.0,0.239862478845462,0.7996338425684677,0.2356636281313045,0.3960513133264713,0.1387625794296508,0.5067824715584327,0.201822904649726,0.1465135346588883
1186,Finland,0.791594825285017,0.9588095420725632,0.6157728474198509,0.2753995398450135,0.9789861482047624,0.6444305264981411,0.9752010627298666,1.575759905308086,0.7099248325333288,0.2329348704012274,0.4580003433907907,2.0236326806901803,0.2452807871410849
1334,Greece,0.791594825285017,0.9588095420725632,0.2094327632415107,0.3867646415389353,0.0,0.2806391002491905,0.3060418008354499,0.7806852907374201,0.3526796997633418,0.3262503881982374,-0.7875849995780284,1.1625487847775249,0.30780480950331385
1502,Hungary,0.791594825285017,0.9588095420725632,0.2479300785603109,0.1534675493320983,0.6767027059520638,0.0804871873459217,0.8380800067080049,0.6332180636672418,0.5181766462542304,0.1783611396393998,0.1557046954310462,0.5759508890435866,0.21070458560614355
1586,Iraq,0.77798707275992,0.9108690649689352,0.0307610127188498,0.3425157946094008,0.0,0.1257945444611756,0.1703409084776794,0.2769608532381304,0.6072025898838119,0.4043672061007409,0.920406450946932,0.202854713341488,0.23518490513577908
1607,Ireland,0.791594825285017,0.9588095420725632,0.0978089685850855,0.2017615333876537,0.0,0.0991431579227909,0.2203044268277225,0.8969754142970193,0.2796327716570186,0.1497145738838372,0.2523032061208174,2.117190564187774,0.2549789980669786
1628,Israel,0.791594825285017,0.9588095420725632,0.1574890172132732,0.4821968561854687,0.0,0.0037311941153738,0.0039876228824875,0.8246573226392794,0.417737120108036,0.2626989700707842,0.8172101948031535,1.340669349493743,0.34872182118050105
1733,Kazakhstan,0.791594825285017,0.8792283500805406,0.0254192799712651,0.6160991504386497,0.0,0.213744120037845,0.1618245626459148,0.8410331138303165,0.975861305170412,0.8556715185188406,1.0494180464505087,0.3950784982121611,0.6889809652101186
1796,Kuwait,0.791594825285017,0.9588095420725632,0.0,0.4429837922087357,0.0,0.0,0.0,3.0388955879217883,0.8468878227326849,0.3006957202913226,-0.3407394441619362,1.680299853781711,0.35303753716164904
1922,Libya,0.6463389163538321,0.9588095420725632,0.0436548503854336,0.2526146858290591,0.0,0.0002665138653838,0.0005448156597385,0.9242951447243318,0.695087175261732,0.2218338657604335,0.7218400093922418,0.525498984134296,0.2207638511052907
2027,Malaysia,0.7866398691399386,0.9367569226048944,0.0361027454664345,0.9672005422134824,0.0,0.2030835654224911,0.1018410673731299,0.7394794087132187,0.5980717238705215,0.7458535253669742,1.0673655939535662,0.3937752990096703,0.7748145539337392
2209,Morocco,0.7335818486002142,0.9252512081000236,0.2564031718840659,0.1613101621274449,0.0,0.1092706848073771,0.2892340126122781,0.1366879921812422,0.3960513133264713,0.1928147886753717,0.5485319509951158,0.1236971721066942,0.22171491350741226
2335,Netherlands,0.791594825285017,0.9588095420725632,0.0709161071662107,0.8581469474487156,0.1704638161567064,0.2982290153645244,0.2122579334005717,1.6035333921151949,0.4576846589161815,0.637413826831278,0.193026697380462,2.2192039159796746,0.6585399630088555
2377,New Zealand,0.791594825285017,0.9588095420725632,0.5835382532533915,0.0930381538984802,0.0,0.8608397851898246,1.236311438786402,1.231351187841515,0.5273075122675209,0.1156665231095597,0.219658167142402,1.4668415825971937,0.17815394608775803
2440,Nigeria,0.3799655161368082,0.0182173812993787,1.5925731495040476,0.1532198878754031,0.0,0.1687032767879749,0.4241229611912657,0.0344637291410183,0.778406327633007,0.3354887936873467,1.1508602453252412,0.0993278127085293,0.1742162254788618
2482,Norway,0.791594825285017,0.9588095420725632,1.0383223275218962,0.0422675552759732,0.0,3.144064069933239,1.5983128377855278,2.329270230633268,0.5216007210092143,0.1542592857279854,0.1008927507554753,3.819632407542034,0.13836342396233364
2503,Oman,0.791594825285017,0.9588095420725632,0.0,0.1537977646076918,0.0,0.0,0.0,1.8713166896806976,0.8617254800042818,0.1753810065364693,0.2463954885400577,0.9307736963730552,0.21440198577658706
2524,Pakistan,0.560195984276666,0.3422950065199051,0.8730970077086728,0.4896266998863234,0.109921251728254,0.8688352011513402,0.6206801796286884,0.0867094230812892,0.5820927083472632,0.5238333755559964,0.2309709646985515,0.0430080868037107,0.4066155322231691
2608,Peru,0.6975775828428108,0.6318554882258193,0.5925639396200002,0.1168136537412152,0.0,0.5364924110176833,0.979300322336898,0.1754360783622526,0.2864809211669864,0.1676326462908534,1.1978401312598208,0.2213694140318613,0.1445507935380462
2629,Philippines,0.6760033308193208,0.3902354836235333,0.6003002422199504,0.3842880269719837,0.0,0.4837226656716816,0.4678270228899513,0.0819783931320499,0.3583864910216484,0.3052031725016831,1.054377619138977,0.0965852712222819,0.2927902697919669
2671,Portugal,0.791594825285017,0.9588095420725632,0.5126221460871806,0.2091913770885084,0.0,0.7555668083632053,0.8805876908367826,0.6558446989525669,0.3344179677367611,0.1897601504977632,0.2497939085598021,0.9799636743665464,0.22014951195252572
2713,Qatar,0.791594825285017,0.9588095420725632,0.0023945698523655,0.2184374048051275,0.0,0.0,0.0,4.434997329545907,0.7281865645599097,0.2256708004237254,2.8165131889894943,2.935840928592736,0.20124889873520024
2734,Romania,0.791594825285017,0.7977295390043727,0.4433638180495307,0.2368469064194675,0.498939431672778,0.5410231467292087,0.8782770689791672,0.4465372944737178,0.406323537591423,0.2891476992463515,-0.5608257199588288,0.3577762379012316,0.22959652922834664
2916,Serbia,0.7893656942570144,0.6462376313569077,0.3770526529070998,0.2107598996475777,0.0,0.3168849859413937,0.5298964867321231,0.5966353525513315,0.706500757778345,0.1754554974182499,0.1050919652982939,0.249814804424207,0.21373169782547907
2979,Singapore,0.791594825285017,0.9588095420725632,0.0086572910047062,0.3553941903575488,0.0,0.0,0.0,3.408879685669412,0.2830568464120025,0.1579844556455599,2.088146259223444,2.0574754949496303,0.2582639744995322
3197,Sweden,0.791594825285017,0.9588095420725632,0.8233636338518497,0.0704184075203226,2.483103901345676,2.187812320935997,1.5718552477594128,1.5133386420393795,0.5444278860424403,0.1792924321187934,0.8556504806301016,2.3027892256072398,0.1620995418167347
3218,Switzerland,0.791594825285017,0.9588095420725632,0.3787104320356606,0.0274078678742639,1.0820373217000006,0.8936209906320378,1.5784511757004516,1.01779285884691,0.2408265911005344,0.1684149285463877,0.4698088843070127,3.3589501998849887,0.162301100403991
3260,Thailand,0.789220040809162,0.7056838229654065,0.4205233056115823,1.1699527214279168,0.0,0.2286688964993404,0.095200945889384,0.3937677605873908,0.5820927083472632,0.8731053435344485,1.0800941938850146,0.2211074726193434,0.8975707938868118
3344,Tunisia,0.7876368511585919,0.953056684820128,0.2322732756794591,0.1218494366940167,0.0,0.005063763442293,0.0211946060403529,0.1855244700165163,0.4576846589161815,0.1025166778452289,0.5047505390286227,0.1892372887926389,0.13427771934144045
3386,Turkmenistan,0.791594825285017,0.9578507325304908,0.0012893837666583,0.1292792803948714,0.0,0.0,0.0,1.078322594204032,2.4733233313500387,0.2204555568768627,1.3225542485961184,0.1933559981636492,0.1349821404387588
3470,United Arab Emirates,0.791594825285017,0.9588095420725632,0.0020261744904631,0.7290327746916409,0.0,0.0005330277307676,0.0003776023532934,2.609790573345817,0.6254643219103928,0.6064203859233177,0.2304191460445567,1.4762711130615584,0.6126584043276199
3554,Uzbekistan,0.7909052670327112,0.8226585870982593,0.0248666869284115,0.339791518585754,0.0,0.2161427448262996,0.2745056056191083,0.4225434719823502,1.6230114338623696,0.4702654425717506,1.0921376931765774,0.0758905924599907,0.2914402674985304
